idade;faixa_idade;genero;cor/raca/etnia;pcd;estado_onde_mora;uf_onde_mora;nivel_ensino;area_formacao;situacao_atual_trabalho;setor;gestor;cargo_gestor;cargo_atual;nivel;faixa_salarial;experiencia_dados;participou_entrevista;forma_de_trabalho#0;linguagem_mais_utiliza;linguagem_mais_gosta;referencia
39;35-39;Masculino;Parda;Não;Distrito Federal (DF);DF;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;Setor Público;FALSE;;DBA/Administrador de Banco de Dados;Júnior;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;;;2022
32;30-34;Masculino;Parda;Não;Pará (PA);PA;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Outra Opção;TRUE;Supervisor/Coordenador;;;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% presencial;;;2022
53;50-54;Masculino;Branca;Não;Distrito Federal (DF);DF;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;FALSE;;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Pleno;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido com dias fixos de trabalho presencial;;;2022
27;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG;Doutorado ou Phd;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Setor Automotivo;FALSE;;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Sim, fui aprovado e mudei de emprego;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;2022
46;45-49;Feminino;Branca;Não;Pará (PA);PA;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;Setor Público;FALSE;;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Não tenho experiência na área de dados;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;SQL;Python;2022
32;30-34;Feminino;Parda;Não;Ceará (CE);CE;Pós-graduação;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Servidor Público;Educação;FALSE;;Professor;Pleno;de R$ 2.001/mês a R$ 3.000/mês;Não tenho experiência na área de dados;Sim, fiz entrevistas mas não fui aprovado;Modelo 100% presencial;Não utiliza programação;Python;2022
21;17-21;Masculino;Parda;Não;São Paulo (SP);SP;Estudante de Graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Finanças ou Bancos;FALSE;;Analista de BI/BI Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo híbrido com dias fixos de trabalho presencial;;;2022
31;30-34;Feminino;Branca;Não;Rio Grande do Sul (RS);RS;Graduação/Bacharelado;Ciências Sociais;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Menos de 1 ano;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% presencial;JavaScript;Python;2022
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Tecnologia/Fábrica de Software;FALSE;;Analista de BI/BI Analyst;Sênior;de R$ 6.001/mês a R$ 8.000/mês;Menos de 1 ano;Sim, fui aprovado e mudei de emprego;Modelo 100% remoto;;;2022
;55+;Feminino;Parda;Não;Bahia (BA);BA;Pós-graduação;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Educação;FALSE;;Professor;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Mais de 10 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo híbrido com dias fixos de trabalho presencial;SQL;R;2022
25;25-29;Feminino;Parda;Não;Rio de Janeiro (RJ);RJ;Estudante de Graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Varejo;FALSE;;Analista de BI/BI Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Menos de 1 ano;Sim, fiz entrevistas mas não fui aprovado;Modelo híbrido com dias fixos de trabalho presencial;;;2022
33;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Educação;FALSE;;Analista de Inteligência de Mercado/Market Intelligence;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Sim, fui aprovado e mudei de emprego;Modelo 100% presencial;;;2022
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP;Doutorado ou Phd;Outras Engenharias;Trabalho na área Acadêmica/Pesquisador;;;;;;;;;;;;2022
24;22-24;Masculino;Amarela;Não;Mato Grosso do Sul (MS);MS;Graduação/Bacharelado;Outras Engenharias;Empregado (CLT);Finanças ou Bancos;FALSE;;Analista de Negócios/Business Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses;Modelo 100% remoto;;;2022
